"","scenario","k_g","k_f","c_g","c_f","mu_g","mu_f","sigma_g","sigma_f"
"1","power-plant",464.609965050713,297.647790016275,0,21.2131236363636,-0.0176010155232335,0.0365868270600563,0.0580210729744974,0.144857465174782
"2","vehicle",39087.7149028965,31228.6,746.381736,1141.3211381021,-0.0115804666341586,0.0067241822113449,0.0480244345243439,0.138540068528215
"3","neutral",450,450,25,25,0,0,0.05,0.1223
